Geography,Area,Area code,Year,theme,Mean disposable household income,Income 1st quintile,Income 2nd quintile,Income 3rd quintile,Income 4th quintile,Income 5th quintile,Gini coefficient,Gini coefficient capital,% Minimum income households (130% sm and little capital),% Long-time minimum income (130% sm and little capital),% Low income households (130% sm),% Minimum income youth (130% sm and little capital),% Minimum income 18-65 (130% sm and little capital),% Minimum income 66+ (130% sm and little capital),% Long-time minimum income youth (130% sm and little capital),Househoulds children social welfare benefits,% Househoulds children social welfare benefits,Disability benefits,Disability benefits (%),Unemployment benefits,Unemployment benefits (%),% economically independent men,% economically indepdent women,Social welfare,Social welfare (%)
Wijken,Haarlemmerbuurt,AA,2021,Income,49800,30,20,17,13,21,0.436,0.823,14,7,21,12,10,17,7,50,7.4,330,4.9,200,3,68,62,-,-
Wijken,Jordaan,AB,2021,Income,46700,33,20,17,13,17,0.441,0.845,15,8,22,9,10,18,5,55,4.7,690,4.7,510,3.4,67,63,-,-
Wijken,Grachtengordel-West,AC,2021,Income,83300,20,16,15,16,33,0.562,0.816,5,1,11,-,4,3,-,-,-,80,1.6,90,1.8,70,61,-,-
Wijken,Burgwallen-Nieuwe Zijde,AD,2021,Income,44300,32,21,19,13,15,0.426,0.879,12,4,17,8,9,20,-,-,-,60,1.7,130,3.7,69,63,-,-
Wijken,Burgwallen-Oude Zijde,AE,2021,Income,40800,35,22,16,13,13,0.418,0.873,14,5,20,15,11,17,6,15,8.6,70,1.8,130,3.3,66,54,-,-
Wijken,Nieuwmarkt/Lastage,AF,2021,Income,51100,31,19,17,14,20,0.457,0.822,13,7,20,12,8,18,6,35,6.1,290,4,180,2.5,67,61,-,-
Wijken,Grachtengordel-Zuid,AG,2021,Income,97600,20,16,19,16,30,0.642,0.877,5,2,10,3,4,4,-,-,-,70,1.7,80,1.9,71,62,-,-
Wijken,De Weteringschans,AH,2021,Income,66800,24,16,18,16,27,0.513,0.853,7,3,13,4,5,9,1,10,2.1,120,2.1,160,2.8,72,65,-,-
Wijken,Weesperbuurt/Plantage,AJ,2021,Income,63100,26,17,17,16,24,0.506,0.79,10,5,16,3,7,10,2,-,-,190,3.3,160,2.8,68,62,-,-
Wijken,Oostelijke Eilanden/Kadijken,AK,2021,Income,44200,32,20,17,14,17,0.39,0.806,17,9,24,13,12,21,8,110,10.1,690,6.7,360,3.5,64,59,-,-
Wijken,Sloterdijk-West,EA,2021,Income,53000,22,8,16,25,28,0.361,0.829,13,5,15,-,9,-,-,-,-,-,-,-,-,77,80,-,-
Wijken,Spaarndammerbuurt/Zeeheldenbuurt,EB,2021,Income,38800,36,22,17,14,12,0.359,0.835,22,13,28,21,16,34,14,135,14.6,510,6.4,290,3.6,64,60,-,-
Wijken,Houthavens,EC,2021,Income,84700,12,11,14,15,47,0.438,0.664,5,2,7,-,3,4,-,-,-,60,2.3,70,2.7,81,76,-,-
