Geography,Area,Area code,Year,theme,Housing stock,Housing density,Trailer space,Mooring place,Sheltered accommodations,Property: Housing corporation,Property: Owner-occupied,Property: Private rent,Property: % Housing corporation,Property: % Private rent,Property: % Owner-occupied,Living space 0-40 m2,Living space 40-60 m2,Living space 60-80 m2,Living space 80-100 m2,Living space 100 m2+,Living space not stated,Living space: % 0 - 40 m2,Living space: % 40- 60 m2,Living space: % 60- 80 m2,Living space: % 80- 100 m2,Living space: % 100 m2+,Living space: % unknown,Average number of residents,Cramped living,Cramped living (%),Cramped living children,Cramped living children (%),House too small (%),Residence too big (% 65+ years),Housing for the elderly,Housing for the elderly (%),Ground floor or elevator,Ground floor or elevator 75+,Ground floor or elevator (%75+),Average house-value for tax purposes,Rent: average,Rent: % rent below deduction limit,Rent: % rent below subsidy limit,Rent: % middle,Rent: % high,Rent: % social (corporation),Rent: % social (private sector),Rent: % commercial (corporation),Rent: % commercial (private sector),Rent ratio,Affordabilaty home,Satisfaction with home,Satisfaction with corporation home,Satisfaction with home (65+ years),Maintenance own home (1-10),Maintenance housing in neighbourhood  (1-10),Wish to move (%),Wish to move 65+ (%),Neighbourhood: Satisfaction with neighbourhood (1-10),Neighbourhood: pleasant to live (1-10),Neighbourhood: Expected development (1-10),Neighbourhood: % improved,Neighbourhood: % stayed the same,Neighbourhood: % deteriorated,Neighbourhood: feeling at home (1-10),Involvement neighbours (1-10),Rent: average in commercial sector
Wijken,Haarlemmerbuurt,AA,2021,Housing,5654,10558,4,135,38,2341,1556,1757,41.4,31.1,27.5,588,1637,1434,879,1082,34,10.4,29,25.4,15.5,19.1,0.6,1.62,344,6.8,212,23.8,16,2,73,1.3,45,284,55.2,553606,834,12,49,8,17,39,11,3,21,32,7,8,7.7,8.4,7.6,7.7,32,16,8.2,8,7.2,14,65,16,8.3,6.7,-
Wijken,Jordaan,AB,2021,Housing,13217,15870,1,113,6,4832,3236,5149,36.6,39,24.5,2503,4882,3024,1271,1463,74,18.9,36.9,22.9,9.6,11.1,0.6,1.47,961,8.2,487,30.6,15,2,140,1.1,28,455,44.4,492596,815,13,49,6,20,34,15,2,23,30,7,7.8,7.4,7.9,7.2,7.4,28,14,8.2,7.8,7,15,62,18,8.3,6.8,1414
Wijken,Grachtengordel-West,AC,2021,Housing,4316,9638,1,75,9,462,1656,2198,10.7,50.9,38.4,406,870,759,562,1675,44,9.4,20.2,17.6,13,38.8,1,1.47,192,5.8,64,13.5,5,5,-,-,33,130,42.7,871371,1202,8,21,10,30,11,10,-,40,-,8,8.3,-,8.5,7.6,7.9,21,13,8.4,8,7,13,64,19,8.4,6.6,-
Wijken,Burgwallen-Nieuwe Zijde,AD,2021,Housing,2972,5302,1,13,5,289,522,2161,9.7,72.7,17.6,550,859,651,393,442,77,18.5,28.9,21.9,13.2,14.9,2.6,1.35,219,9.4,47,27.3,11,-,-,-,25,32,34,488138,1074,14,30,14,36,7,23,3,47,33,7,7.6,7.8,8.3,7,7.2,36,-,7.2,7.5,6.6,26,47,18,7.7,5.7,1434
Wijken,Burgwallen-Oude Zijde,AE,2021,Housing,2974,8535,-,3,12,572,526,1876,19.2,63.1,17.7,437,946,608,375,539,69,14.7,31.8,20.4,12.6,18.1,2.3,1.52,216,9,54,23.7,17,-,2,0.1,22,37,30.5,488413,832,10,44,17,22,18,26,1,37,31,7,7.7,7.9,8.1,7,7.1,28,-,7.3,7.1,6.6,32,40,22,7.8,6.5,-
Wijken,Nieuwmarkt/Lastage,AF,2021,Housing,6239,8978,-,192,20,2489,1707,2043,39.9,32.7,27.4,572,1853,1465,1089,1056,204,9.2,29.7,23.5,17.5,16.9,3.3,1.54,286,5.3,175,22,10,2,163,2.6,40,262,48.1,536955,990,12,40,8,26,33,8,6,27,33,7,7.9,7.6,8.2,7.2,7.5,28,13,8.1,7.8,7.1,23,54,18,8.3,6.9,1541
Wijken,Grachtengordel-Zuid,AG,2021,Housing,3501,6735,-,80,6,184,1229,2088,5.3,59.6,35.1,338,684,677,526,1247,29,9.7,19.5,19.3,15,35.6,0.8,1.52,135,5,59,14,8,-,-,-,34,124,43.9,863499,-,7,22,15,24,5,17,-,38,-,8,8.4,-,8.7,7.8,8,19,-,8.4,7.9,7.5,29,52,14,8.5,6.7,-
Wijken,De Weteringschans,AH,2021,Housing,4665,8425,2,76,5,530,1621,2514,11.4,53.9,34.7,728,1307,936,532,1137,25,15.6,28,20.1,11.4,24.4,0.5,1.57,363,9.3,131,21.7,11,4,-,-,36,148,49.7,629289,1063,13,28,7,31,8,20,3,35,31,7,8.2,7.6,8.5,7.6,7.7,29,16,8.3,8,7.4,26,63,8,8.5,6.8,-
Wijken,Weesperbuurt/Plantage,AJ,2021,Housing,4306,5621,-,92,15,1250,1436,1620,29,37.6,33.3,558,1189,1156,433,944,26,13,27.6,26.8,10.1,21.9,0.6,1.68,261,6.9,116,20.1,12,-,3,0.1,38,171,55.8,582674,889,12,41,6,19,27,14,3,22,30,7,8,7.5,8.1,7.4,7.7,33,10,8.4,8,7.6,17,63,17,8.4,7,-
Wijken,Oostelijke Eilanden/Kadijken,AK,2021,Housing,7251,7372,1,159,8,4140,2147,964,57.1,13.3,29.6,950,1549,2104,1658,961,29,13.1,21.4,29,22.9,13.3,0.4,1.83,496,7.1,320,21.7,18,6,148,2,45,327,62,456783,686,9,57,4,9,51,6,7,7,28,7,7.8,7.5,8.1,7.4,7.3,30,12,7.9,7.7,7.5,20,61,14,8,6.7,-
