Geography,Area,Area code,Year,theme,Safety index: registered crime index,Safety index: High Volume Crime,Safety index: High Impact Crime,Safety index: reported victimization index,Safety index: reported victimization of High Volume Crimes,Safety index: reported victimization of High Impact Crimes,Safety index: reported victimization of digital crimes,Safety index: perceived nuisance index,Safety index: decay index,Safety index: nuisance by people index,Safety index: unsafety perception index,Safety index: risk perception index,Safety index: unsafe feelings index,Safety index: avoidance index,Safety measures home (%),Victimization: online crime,Victimization: violence,Victimization: threat,Victimization : destruction (%),Victimization: home burglary (%),Victimization: bullying (%),Victimization: other theft (%),Victimisation : bicycle theft (%),Sense of unsafety in own neighbourhood: % ocassinally,Avoidance: % often,Sense of unsafety in own neighbourhood: % often,Sense of unsafety in own neighbourhood: % ocassinally (65+ years),Safety neighbourhood (1-10),Amount of crime in own neigbourhood: % a lot,Sense of safety during the day (1-10),Sense of safety in the evening (1-10),Sense of safety in the evening 65+ (1-10),Nuisance: crime (1-10),Crime: % increased,Crime: % stayed the same,Crime: % decreased,Nuisance: % a lot,Nuisance: % increased,Nuisance: % stable,Nuisance: % decreased,Nuisance: drunks in the street (%),Nuisance: catering industry (%),Nuisance: drug use (%),Nuisance: drug dealing (%),Nuisance: disordered persons (%),Nuisance: stench (%),Nuisance: subletting tourists (%),Nuisance: tourists,Nuisance: locals (%),Nuisance: bothered in the street (%),Nuisance:  youths congegrating (%),Nuisance: noise (%),Nuisance: neighbours (1-10),Nuisance: other groups of people (1-10),Nuisance: catering (1-10),Victimization: sexual assault (%)
Wijken,Haarlemmerbuurt,AA,2021,Safety,81,77,85,75,92,57,76,123,101,145,82,94,78,74,57,18,1,3,12,3,2,8,10,15,4,3,19,7.4,11,8.6,7.9,7.8,7.1,11,53,5,21,18,39,29,10,5,10,11,7,6,11,19,8,3,9,17,7.5,7.2,7.6,-
Wijken,Jordaan,AB,2021,Safety,123,103,145,111,96,103,135,129,103,154,85,96,81,78,58,20,1,7,13,4,3,8,14,16,1,3,22,7.6,11,8.7,7.9,7.7,7.3,11,57,8,30,16,40,34,11,10,7,5,8,4,14,23,8,4,10,21,7.2,7,7.2,1
Wijken,Grachtengordel-West,AC,2021,Safety,89,109,64,164,223,170,100,123,104,142,82,94,73,79,54,24,2,8,13,8,2,16,16,13,3,1,13,7.7,9,8.8,8,7.6,7.5,9,55,10,28,12,29,44,15,9,9,3,5,3,18,36,8,5,6,18,7.4,7.1,7.2,4
Wijken,Burgwallen-Nieuwe Zijde,AD,2021,Safety,210,213,206,154,120,182,161,269,118,413,110,108,116,105,56,23,3,11,20,6,3,9,17,34,4,3,-,6.9,34,8.4,7.1,6.8,6.5,9,48,18,46,13,27,48,27,10,18,14,20,14,25,39,10,7,16,31,6.8,6.1,5.8,8
Wijken,Burgwallen-Oude Zijde,AE,2021,Safety,138,137,139,134,101,148,153,279,131,420,124,116,132,123,48,21,3,12,14,2,4,9,18,39,11,9,-,6.4,54,8.4,7.1,6.9,5.8,18,37,30,68,22,16,55,47,25,33,30,37,20,22,50,9,26,20,42,7.4,5.8,5.5,1
Wijken,Nieuwmarkt/Lastage,AF,2021,Safety,100,100,100,110,119,110,101,140,109,169,88,98,85,81,62,20,2,10,17,1,1,9,12,20,3,1,11,7.3,21,8.7,7.7,7.6,7.1,8,51,21,38,15,28,46,20,7,14,11,10,6,19,34,7,6,10,24,7.3,6.9,7.1,1
Wijken,Grachtengordel-Zuid,AG,2021,Safety,77,90,62,174,160,193,170,149,105,191,94,98,95,89,61,29,5,11,23,6,3,17,18,17,2,3,-,7.6,15,8.9,8.1,8.3,7.1,3,51,21,38,11,29,51,16,7,11,7,9,7,19,34,14,5,12,26,7.6,6.9,6.3,3
Wijken,De Weteringschans,AH,2021,Safety,87,90,84,91,90,109,74,128,96,159,80,92,73,75,54,14,2,7,10,3,3,9,17,15,2,-,-,7.6,8,9,8,7.8,7.2,5,52,20,21,4,34,52,8,7,5,4,3,3,13,29,2,4,2,18,7,6.9,7.1,2
Wijken,Weesperbuurt/Plantage,AJ,2021,Safety,129,153,100,104,153,80,78,108,97,119,86,97,85,78,67,17,-,7,14,6,3,8,19,19,3,2,-,7.5,11,8.8,7.9,7.6,7.3,11,59,9,22,13,40,40,8,5,10,9,8,3,8,15,5,3,4,18,7.5,7.3,7.8,1
Wijken,Oostelijke Eilanden/Kadijken,AK,2021,Safety,99,97,101,83,78,113,59,106,95,116,97,99,96,95,64,13,4,5,9,5,2,8,14,21,5,2,13,7.1,20,8.5,7.5,7.4,6.8,14,51,11,13,11,52,19,7,3,8,7,6,6,4,9,9,3,15,17,7.6,7.3,8.2,3
