Geography,Area,Area code,Year,theme,Social cohesion (1-10),SES low,SES midrange,SES high,SES low (%),SES midrange (%),SES high (%),SES low 0-17,SES low (% 0-17),SES low 18-26,SES low (% 18-26),SES low 27-65,SES low (%27-65),SES low 66+,SES low (%66+),Most vulnerable,Most vulnerable (%),Most vulnerable 0-17,Most vulnerable (% 0-17),Most vulnerable 18-26,Most vulnerable (% 18-26),Most vulnerable 27-65,Most vulnerable (% 27-65),Most vulnerable 66+,Most vulnerable (% 66+),Activities social participation,"Activities social participation / 1,000 inh."
Wijken,Haarlemmerbuurt,AA,2021,Socioeconomic status,6.2,2245,2385,4520,25,26,49,160,15,170,17,1235,22,680,44,935,46,45,4,35,4,520,9,335,21,-,-
Wijken,Jordaan,AB,2021,Socioeconomic status,6.2,4560,5240,9555,24,27,49,200,11,335,13,2620,22,1405,45,1940,46,55,3,100,4,1105,9,680,22,-,-
Wijken,Grachtengordel-West,AC,2021,Socioeconomic status,6,970,1365,3970,15,22,63,40,7,195,18,530,15,205,20,315,51,10,2,25,3,195,5,80,8,-,-
Wijken,Burgwallen-Nieuwe Zijde,AD,2021,Socioeconomic status,5.4,890,1000,2095,22,25,53,25,13,135,15,615,24,115,39,255,47,-,-,20,2,190,7,35,12,-,-
Wijken,Burgwallen-Oude Zijde,AE,2021,Socioeconomic status,5.6,1145,1125,2225,25,25,49,50,20,180,17,750,27,165,39,390,42,-,-,30,3,275,10,80,19,-,-
Wijken,Nieuwmarkt/Lastage,AF,2021,Socioeconomic status,6.3,2130,2360,5105,22,25,53,120,14,160,11,1150,21,695,41,815,47,20,2,35,2,445,8,315,18,-,-
Wijken,Grachtengordel-Zuid,AG,2021,Socioeconomic status,6.2,815,1165,3380,15,22,63,40,8,110,12,510,16,155,21,255,52,-,-,25,3,150,5,75,10,-,-
Wijken,De Weteringschans,AH,2021,Socioeconomic status,6.2,1170,1610,4510,16,22,62,55,7,160,13,700,16,260,29,375,53,-,-,30,2,225,5,110,12,-,-
Wijken,Weesperbuurt/Plantage,AJ,2021,Socioeconomic status,6.2,1560,1550,4375,21,21,58,55,7,165,13,925,21,415,37,825,47,25,4,40,3,530,12,230,20,-,-
Wijken,Oostelijke Eilanden/Kadijken,AK,2021,Socioeconomic status,6.3,3655,3525,6490,27,26,47,330,19,315,17,2065,25,945,46,1825,45,85,5,120,7,1200,15,420,20,-,-
Wijken,Spaarndammerbuurt/Zeeheldenbuurt,EB,2021,Socioeconomic status,6.4,3560,2955,4130,33,28,39,485,31,180,18,2010,30,885,68,1715,42,165,11,75,8,995,15,480,37,-,-
Wijken,Houthavens,EC,2021,Socioeconomic status,7.3,360,580,2745,10,16,75,15,2,25,12,220,9,100,30,140,63,-,-,-,-,75,3,60,18,-,-
Wijken,De Kolenkit,ED,2021,Socioeconomic status,5.8,4085,2805,4095,37,26,37,935,43,255,14,2260,37,635,74,1685,38,170,8,85,5,1065,17,365,43,-,-
Wijken,Landlust,EE,2021,Socioeconomic status,5.6,6290,4905,7710,33,26,41,1205,39,370,14,3675,32,1040,72,2505,42,220,7,100,4,1705,15,485,33,-,-
Wijken,Erasmuspark,EF,2021,Socioeconomic status,6.2,1365,1395,3070,23,24,53,185,25,90,11,785,21,300,68,490,52,40,5,20,2,285,8,145,33,-,-
